Week,"PRECIPITA TOTAL, HORARIO (mm)"
2019-11-10,21.6
2019-11-17,9.6
2019-11-24,31.2
2019-12-01,11.8
2019-12-08,57.0
2019-12-15,6.3999999999999995
2019-12-22,67.2
2019-12-29,93.60000000000002
2020-01-05,64.0
2020-01-12,52.2
2020-01-19,9.799999999999999
2020-01-26,94.39999999999999
2020-02-02,89.4
2020-02-09,182.0
2020-02-16,88.80000000000001
2020-02-23,93.2
2020-03-01,9.6
2020-03-08,4.2
2020-03-15,13.000000000000002
2020-03-22,0.2
2020-03-29,67.2
2020-04-05,3.4000000000000004
2020-04-12,0.2
2020-04-19,0.4
2020-04-26,0.6000000000000001
2020-05-03,8.6
2020-05-10,2.1999999999999997
2020-05-17,1.6
2020-05-24,0.6000000000000001
2020-05-31,7.0
2020-06-07,9.799999999999999
2020-06-14,0.4
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,0.2
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,0.0
2021-03-21,0.0
2021-03-28,0.0
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,0.0
2021-10-03,0.0
2021-10-10,0.0
2021-10-17,0.0
2021-10-24,0.0
2021-10-31,0.0
2021-11-07,0.0
2021-11-14,0.0
2021-11-21,0.0
2021-11-28,0.0
2021-12-05,0.0
2021-12-12,47.6
2021-12-19,4.4
2021-12-26,44.800000000000004
2022-01-02,60.0
2022-01-09,77.0
2022-01-16,58.6
2022-01-23,90.0
2022-01-30,92.8
2022-02-06,5.0
2022-02-13,6.6
2022-02-20,6.6000000000000005
2022-02-27,30.0
2022-03-06,50.400000000000006
2022-03-13,121.80000000000001
2022-03-20,9.6
2022-03-27,25.0
2022-04-03,1.6
2022-04-10,14.200000000000001
2022-04-17,1.0
2022-04-24,2.6
2022-05-01,9.4
2022-05-08,4.2
2022-05-15,8.8
2022-05-22,0.6000000000000001
2022-05-29,30.400000000000002
2022-06-05,29.2
2022-06-12,1.0
2022-06-19,0.0
2022-06-26,1.6
2022-07-03,0.6000000000000001
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,8.4
2022-07-31,19.8
2022-08-07,1.0
2022-08-14,6.6000000000000005
2022-08-21,0.0
2022-08-28,0.0
2022-09-04,0.6000000000000001
2022-09-11,9.8
2022-09-18,21.0
2022-09-25,100.39999999999999
2022-10-02,12.0
2022-10-09,19.4
2022-10-16,12.0
2022-10-23,2.2
2022-10-30,51.0
2022-11-06,29.400000000000002
2022-11-13,8.2
2022-11-20,95.4
2022-11-27,102.19999999999999
2022-12-04,89.4
2022-12-11,55.199999999999996
2022-12-18,9.8
2022-12-25,71.2
2023-01-01,78.2
2023-01-08,58.599999999999994
2023-01-15,31.6
2023-01-22,41.2
2023-01-29,103.80000000000001
2023-02-05,56.400000000000006
2023-02-12,121.39999999999999
2023-02-19,65.0
2023-02-26,25.4
2023-03-05,32.0
2023-03-12,99.0
2023-03-19,20.599999999999998
